"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Genus_species"
"OTU.494","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium",NA,"Cystobasidium sp."
"OTU.838","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","hypoxylon","Xylaria hypoxylon"
"OTU.1218","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Collophora",NA,"Collophora sp."
"OTU.1220","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Nothophaeocryptopus","gaeumannii","Nothophaeocryptopus gaeumannii"
"OTU.1150","Fungi","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae",NA,NA,"Sympoventuriaceae sp."
"OTU.1219","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_fam_Incertae_sedis","Cadophora",NA,"Cadophora sp."
"OTU.1198","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales",NA,NA,NA,"Phaeomoniellales sp."
"OTU.1271","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales",NA,NA,NA,"Pucciniales sp."
"OTU.597","Fungi","Ascomycota",NA,NA,NA,NA,NA,"Ascomycota sp."
"OTU.1284","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","sphaerospermum","Cladosporium sphaerospermum"
"OTU.455","Fungi","Olpidiomycota","GS18",NA,NA,NA,NA,"GS18 sp."
"OTU.207","Fungi","Ascomycota","Dothideomycetes","Venturiales","Venturiaceae","Venturia",NA,"Venturia sp."
"OTU.433","Fungi",NA,NA,NA,NA,NA,NA,"Fungi sp."
"OTU.1447","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Cudoniaceae",NA,NA,"Cudoniaceae sp."
"OTU.1455","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"Helotiales sp."
"OTU.1456","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes_ord_Incertae_sedis","Microsporomycetaceae","Microsporomyces","pini","Microsporomyces pini"
"OTU.1467","Fungi","Ascomycota","Leotiomycetes","Helotiales","Leotiaceae","Alatospora",NA,"Alatospora sp."
"OTU.1468","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae",NA,NA,"Hyaloscyphaceae sp."
"OTU.1487","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA,"Helotiales sp."
"OTU.1521","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Phaeomoniella",NA,"Phaeomoniella sp."
"OTU.392","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Neocrinula","lambertiae","Neocrinula lambertiae"
"OTU.442","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma",NA,"Ganoderma sp."
